YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ProportionParkingGFA,ProportionElectricity(kBtu),ProportionNaturalGas(kBtu),ProportionSteamUse(kBtu),Distribution Center,Hospital,Hotel,K-12 School,Laboratory,Large Office,Medical Office,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility
61,3,175015,95.0,7886505.5,247.85,1.42,0.0,0.3831077078556381,0.6168922206620817,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,3,70586,73.0,2331573.25,45.43,0.64,0.0,0.69499158956912,0.30500841043087995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,24,332210,67.0,16163194.0,295.33,0.89,0.6199993979711628,0.7550739043285628,0.2449260338024774,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5,168115,78.0,9536161.0,66.48,0.4,0.0,0.9999998951359986,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,57428,73.0,1239429.75,33.26,0.58,0.0,0.5731607985492584,0.42683920145074167,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,8,59400,14.0,5242479.5,35.36,0.6,0.0,0.9999998028381061,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,2,52549,73.0,15683742.0,584.31,11.12,0.0,0.3082921985045317,0.6917078014954683,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,20,98634,71.0,5078816.0,59.19,0.6,0.10182087312691364,0.8861291200435416,0.11387077667942655,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,71150,98.0,5348309.0,134.38,1.89,0.0,0.606528156843593,0.3934716561814211,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,7,122810,99.0,6088417.5,227.18,1.85,0.0,0.2394916758118797,0.7605082316174275,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5,113173,86.0,5428403.5,144.79,1.28,0.3759377236620042,0.5572461366298387,0.4427537687510284,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7,150453,84.0,6835263.5,199.95,1.33,0.23086944095498263,0.5057355811535852,0.49426441884641487,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,116300,80.0,5941927.0,162.39,1.4,0.24247635425623387,0.547130802060644,0.4528691121406762,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,155602,81.0,6849826.5,152.76,0.98,0.23614092363851363,0.666813468092264,0.3331863856426158,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
